capa_id,company,recall_id,product_res_number,recalling_firm,product_description,nonconformity,original_root_cause,corrected_root_cause,department,assigned_owner,severity,capa_status,open_date,close_date,days_open,overdue,corrective_action,effectiveness_result
CAPA-MF-1010,MedFluss GmbH,126354,Z-1512-2014,Hospira Inc.,"GemStar Docking Station, used with GemStar infusion pump, in combination with other GemStar accessories such as the GemStar Lock Box and patient bolus cord.  The docking station is also used for hosting the GemStar pump for general infusions.  List Numbers: 13075-XX-XX.","There are two situations that may occur when using the GemStar Docking Station, List Number 13075-XX-XX, in conjunction with the GemStar infusion pump: 1) when the Docking Station is used in conjunction with a GemStar Phase 3 pump (List 13000-XX, 13100-XX, or 13150-XX) the potential exists for the GemStar Phase 3 pump to fail to power up while connected to the Docking Station, and 2) when either a GemStar Phase 3 (List 13000-XX, 13100-XX, or 13150-XX)or GemStar Phase 4 pump (List 13086-XX, 13087-XX, or 13088-XX) is used in conjunction with both a Docking Station and an External Battery Pack accessory (List 13073-XX) there exists a possibility that the GemStar pump will display error code 11/003 and give an audible alarm indicating excessive input voltage from the external sources. If the GemStar pump detects what is perceived to be more than 3.6 Volts measured on the external voltage input, the pump will stop the infusion and alarm both with an audible sound as well as a visual alarm.",Device Design,Device Design,Design & Development,Emma Fischer,Major,Closed,2024-11-24,2024-12-18,24,No,"Hospira sent an URGENT MEDICAL DEVICE CORRECTION letter dated February 18, 2014, to all affected customers. The letter identified the product, the problem, and the action to be taken by the customer. The letter included the following instructions: 

1) To avoid failure to power up, turn the pump on first, before connecting the pump with the docking station. This will prevent the failure to power up. 

2) To mitigate the potential for an 11/003 error code, remove the External Battery Pack accessory (List 13073) from the Docking Station in conjunction with an External Battery Pack accessory (List 13073), this practice should not continue. Please contact Hospira to discuss an appropriate alternative. 

Additional instructions included: 

1) Inform potential users within the recipient's organization of the notification. 

2) Should the facility experience a failure to power up or an 11/003 error code, report the issue to Hospira by calling 1-800-441-4100 (Monday - Friday, 8:00 AM - 5:00 PM CT) or e-mail ProductComplaintsPP@hospira.com. 

3) Compelte the attached reply form and return it to the fax number or e-mail address on the firm, even if there is no affected product in inventory. 

4) If th products were further distributed, notify the accounts that received the products identified in the notification and ask them to contact Steriycle at 866-792-5451 (Monday - Friday, 8:00 AM - 5:00 PM ET) to receive a reply form.

For questions regarding this recall call 800-441-4100.",Not Effective
CAPA-MF-1011,MedFluss GmbH,126855,Z-1572-2014,"Codman & Shurtleff, Inc.","MedStream Programmable Infusion Pump, 40 mL, Product Code: 91-4201

The MedStream programmable pump is intended for the intrathecal delivery of Baclofen in the US market and for the intrathecal delivery of Morphine or Baclofen in the EMEA market.",A small number of specific pumps may trigger a low battery alarm at the beginning of the implanted life.,Device Design,Device Design,Design & Development,Emma Fischer,Minor,Closed,2024-05-08,2024-10-24,169,No,"Codman Neuro sent an Urgent Field Safety Notice to all affected customers on April 18, 2014. The letter identified the product the problem and the action needed to be taken by the customer.  The letter states the reason for recall, information about managing patients with affected pumps, and returning affected non-implanted pumps.

You are receiving this voluntary recall notification because our records indicate that you are the recipient of one or more MedStream Pumps affected by this recall. Please do not implant any identified products included in this recall. Please complete the enclosed Acknowledgement Form and fax the completed form to: 001-508-977-6665. It is important that we receive this acknowledgement form, even if you have no affected product in your inventory.
You may also e-mail the form to us at Codmanproductcomplaints@dpyus.jnj.com

We request that you immediately check all inventory to determine if you have affected product. Please contact your Codman Neuro sales consultant to assist you in the return process. Please use the included instructions to report your inventory status and return affected product. Note this recall applies only to",Partially Effective
CAPA-MF-1012,MedFluss GmbH,97788,Z-1869-2011,"Zevex International, Inc.","Curlin PainSmart Ambulatory Infusion Pump

Provides a means for the volumetric delivery of fluids used in Parenteral, Enteral, Epidural, Subcutaneous and Intravenous applications.",Infusion pumps may exhibit false error codes which render the device inoperable until a recovery process is performed.,Software design,Software design,Quality Assurance,Thomas Becker,Major,Closed,2023-06-29,2023-08-02,34,No,"The firm, MOOG, sent an ""URGENT DEVICE RECALL NOTIFICATION"" letter dated February 28, 2011 to its customers. The letter described the product, problem and actions to be taken. The Customers were instructed to do the following:
1) Identify the affected Pumps:
a) If they have an affected pump, fill out and return the enclosed Business Reply Card within five (5) working days.
b) If their pump is not affected by this recall, the pump can be used for its intended purposes.
2) Removal of affected Product:
a) remove affected products from service and use non-affected pump
b) If you do not have an alternate pump available for use, MOOG recommended that they weigh the risks and benefits for delivering medications using the affected pump versus the risk of not using any pump for each patient

WARNING: Affected pumps should not be used to deliver critical medications where a delay in therapy could result in serious adverse health effects, injury or death; and affected pumps should not be used with the neonatal population. 

3)Should they Have an Affected pump which exhibits Error Code 45 or is used in therapeutic situations specified in the warning, please contact MOOG Customer Service at (800) 970-2337, Monday thru Friday, 7:00am to 5:00pm MST to arrange for a loaner pump and the return of your affected pump.

If you have any additional questions regarding this recall, please contact MOOG's Customers Service Department at (800) 970-2337.",Effective
CAPA-MF-1013,MedFluss GmbH,113568,Z-0072-2013,MOOG Medical Devices Group,"***This recall is being conducted due to an incomplete recall for RES 57829*** Curlin Infusion Administration Set, REF 340-4165, Sterile EO,  

The Curlin Ambulatory Infusion Pump System with disposable PVC Administration Tubing Sets and user accessories, provide a means for the volumetric delivery of fluids used in Parenteral, Enteral, Epidural, Subcutaneous and Intravenous applications.",This recall is the same issue for the FDA processed recall initiated by Moog Medical Devices on 1/25/11 which was related to customers reporting unclearable Air-In-Line alarm with specific lot numbers of Curlin Administration Sets used with Curlin Ambulatory Infusion Pumps.  The lots associated with this recall were inadvertently omitted from the original recall which has since been terminated by,Process control,Process control,Manufacturing,Carlos Rivera,Minor,Closed,2023-11-26,2024-06-08,195,No,"MOOG sent a Medical Device Recall Notification letter dated September 26, 2012, to all affected consignees.  The letter identified the product, the problem, and the action to be taken by the customer.  Customers were instructed to remove product from their inventory and return to the firm.  Customers were also instructed to contact their distributor to arrange for replacement product.  For questions customers were instructed to call 1-800-970-2337, prompt #7.
For questions regarding this recall call 801-264-1001.",Not Effective
CAPA-MF-1014,MedFluss GmbH,120124,Z-1874-2013,Iradimed Corporation,"MRidium 1145 Dose Reduction System (DERS) drug library kit.  (This is an option for the MRidium 3860+MR Infusion Pump System).

The MRidium 3860+MRI Infusion pump are intended for general hospital or clinical use by medical professional whenever it is required to infuse patients with intra-venous or intra-arterial fluids before, during or after magnetic Resonance imagining (MRI) scans.",The Dose Error Reduction System (DERS) can indicate an incorrect recommended value for the rate via a specific key sequence during the initial infusion setup.  This can result in a risk of over-infusion or under-infusion if the infusion is started with this rate value.,Software Manufacturing/Software Deployment,Software Manufacturing/Software Deployment,Quality Assurance,Sarah Müller,Minor,Closed,2025-05-23,2025-08-23,92,No,"The firm, Iradimed Corporation, notified by phone and sent an ""URGENT MEDICAL DEVICE RECALL NOTICE""  via email dated July 1, 2013 all consignees/customers.  The notice described the product, problem and action to be taken. The customers were instructed to identify the MRidium 3860+ MR Infusion Pumps  which have the 1145 DERS Library card (AM05) installed. If these are not installed, no further action is required at this time; however, if they are installed-remove the 1145 DERS Library Card from the 3860 Pump using the instructions provided. 

Product will be reconditioned by installing a software upgrade that corrects this problem.  The updated software (version 3.5.1) can be seen during the 3860+ Pump's power on cycle.

Should your users have any questions following these instructions, please contact Iradimed Customer Service; 866-677-8022 (toll free) or 407-677-8022 ext. 100 or via e-mail - recallsupport@iradimed.com",Effective
CAPA-MF-1015,MedFluss GmbH,125111,Z-0827-2014,Tandem Diabetes Care Inc,"T:slim Insulin Delivery System 
  Insulin Infusion Pump","Specific lots of insulin cartridges that are used with the T:slim Insulin Pump may be at risk for leaking.  A cartridge leak could result in the device delivering too much or too little insulin, which can lead to a serious adverse event.",Equipment maintenance,Equipment maintenance,Quality Assurance,Sarah Müller,Critical,Closed,2023-07-28,2023-09-26,60,No,"Tandem Diabetes Care sent an Urgent Medical Device Voluntary Recall letter dated January 10, 2014, to all affected customers. The letter identified the product, the problem, and the action to be taken by the customer.  Customers were instructed check the lot numbers of their cartridge supply against the llist of affected lot numbers.  Do Not use any cartridges from the lots affected by this recall.  If customers don't have useable cartridges, discontinue using the pump and revert to their backup plan until new supplies arrive.  Customers were instructed to call Tandem Technical Support at 1-877-801-6901 to receive replacement cartridges at no charge.  Customers were asked to return the enclosed return response form via email, fax, or mail.    UPDATED: Tandem Diabetes Care expanded the recall om January 20, 2014. Tandem Diabetes Care, Inc. (NASDAQ: TNDM), or Tandem, today announced that it is expanding a voluntary recall of specific lots of insulin cartridges that are used with the t:slim Insulin Pump.
For questions regarding this recall calll 858-366-6900, ext 6963.",Effective
CAPA-MF-1016,MedFluss GmbH,125503,Z-1704-2014,Hospira Inc.,"Plum XL3 Multi line Infusion System, Micro Macro Plum XL3 Multi line Infusion System, and Micro Macro Plum XL Infusion System.  Infusion pumps for intravenous. arterial, short-term epidural, and parenteral administration of general I.V. fluids, medications, nutritional fluids, and blood/blood products to patients in hospital and home care environments.","There is the potential for the door roller assembly on the Plum LifeCare 5000 Series and Plum XL families of infusers to break. In the event of a broken door roller pin, the door cannot appropriately lock the cassette in the right position. Depending on the conditions of a broken door roller pin, a number of events can occur. The door cannot be closed or a cassette/door alarm or a false occlusion",Component design/selection,Component design/selection,Quality Assurance,Thomas Becker,Minor,Closed,2024-02-03,2024-03-17,43,No,"Hospira sent an URGENT MEDICAL DEVICE RECALL letter dated January 24, 2014, to all affected customers via traceable UPS.   The letters included instructions for recipients to: inspect the door roller assemblies; if a door roller or pin appears loose, broken or missing, remove the device from clinical service until the door assembly is replaced with a corrected door assembly and contact Hospira at 800-441-4100 (Monday - Friday, 8:00 AM - 5:00 PM CST) to report the issue. All devices requiring repair will be serviced and replaced with the existing design door and/or pin. Hospira is in the process of designing a metal door roller pin to replace the plastic on currently available on the Plum XL and once that design is complete, any door roller/pin serviced on a Plum XL will be replaced with the new metal design. Recipients are further instructed to: inform potential users in their organization of the recall notification; complete the attached reply form and return it to the fax number or e-mail address on the form; and if the pumps were further distributed, to notify the accounts that received the devices and ask them to contact Stericycle at 877-597-9581 (Monday - Friday, 8:00 AM - 5:00 PM EST) to receive a reply form. 

The URGENT MEDICAL DEVICE RECALL letter also reports that Hospira is in the process of retiring the Plum LifeCare 5000 and Plum XL families of infusion devices as noted in the IMPORTANT PLUM INFUSION PUMP DISCONTINUATION AND TRANSITION NOTICE issued May 1, 2013. As of June 30, 2015, Hospira will consider the products within the Plum LifeCare 5000 and Plum XL Infusion Systems families retired and will no longer support them.
For questions regarding this recall call 224-212-2000.",Partially Effective
CAPA-MF-1017,MedFluss GmbH,84821,Z-0032-2010,Hospira Inc,"Plum XL3M, List numbers 11845-04-03, 11845-04-05, 11845-04-07, 11845-04-11, 11845-04-13; AC cord manufactured by Electri-Cord, Westfield PA, Infusion pumps manufactured by Hospira, Morgan Hill, CA.",Fire/Shock hazard-- A component used in the device may cause sparks/flashes and poses a fire and shock hazard.,Component design/selection,Component design/selection,Quality Assurance,Thomas Becker,Major,Closed,2025-07-22,2025-08-18,27,No,"Firm initiated its recall on 08/14/2009.  A nationwide press release was issued to AP, and an Urgent: Device Field Correction letter to consignees was sent via UPS.  The letter recommended that customers check their infusion pumps and spare parts in their inventory to determine if the specified AC Power Cords are in use at their facility; and, to inspect the affected cords for bent or cracked prongs and bridge connection, burnt plastic, or excessive wear and tear.  Also, it was recommended that customers immediately discontinue use of the affected cords exhibiting the described characteristics and contact their local Hospira representative for assistance.  The letter stated that customers may continue to use and monitor cords that are not exhibiting the described characteristics until replacement cords are sent to their facility.  Hospira will contact customers to schedule replacement.  Customers are to complete and return the attached Reply Form.  Question should be directed to Hospira Customer Service at 1-800-241-4002.",Effective
CAPA-MF-1018,MedFluss GmbH,84816,Z-0027-2010,Hospira Inc,"Plum A+3 Infusion System with Hospira Mednet, list # 20678-04-01, 20678-04-03, 20678-04-51, 20678-04-77, 20678-04-81, 20678-04-05, 20678-04-53; AC cord manufactured by Electri-Cord, Westfield PA, Infusion pumps manufactured by Hospira, Morgan Hill, CA.",Fire/Shock hazard-- A component used in the device may cause sparks/flashes and poses a fire and shock hazard.,Component design/selection,Component design/selection,Quality Assurance,Thomas Becker,Major,Closed,2025-10-29,2026-02-19,113,No,"Firm initiated its recall on 08/14/2009.  A nationwide press release was issued to AP, and an Urgent: Device Field Correction letter to consignees was sent via UPS.  The letter recommended that customers check their infusion pumps and spare parts in their inventory to determine if the specified AC Power Cords are in use at their facility; and, to inspect the affected cords for bent or cracked prongs and bridge connection, burnt plastic, or excessive wear and tear.  Also, it was recommended that customers immediately discontinue use of the affected cords exhibiting the described characteristics and contact their local Hospira representative for assistance.  The letter stated that customers may continue to use and monitor cords that are not exhibiting the described characteristics until replacement cords are sent to their facility.  Hospira will contact customers to schedule replacement.  Customers are to complete and return the attached Reply Form.  Question should be directed to Hospira Customer Service at 1-800-241-4002.",Effective
CAPA-MF-1019,MedFluss GmbH,84763,Z-0012-2010,Hospira Inc,"Acclaim Encore Infusion Pump, List # 12569-04-03 (veterinary), 12237 04-15, 12273-04-51, AC cord manufactured by Electri-Cord, Westfield PA, Infusion pumps manufactured by Hospira, Morgan Hill, CA.",Fire/Shock hazard-- A component used in the device may cause sparks/flashes and poses a fire and shock hazard.,Component design/selection,Component design/selection,Quality Assurance,Thomas Becker,Minor,Closed,2023-04-25,2023-10-01,159,No,"Firm initiated its recall on 08/14/2009.  A nationwide press release was issued to AP, and an Urgent: Device Field Correction letter to consignees was sent via UPS.  The letter recommended that customers check their infusion pumps and spare parts in their inventory to determine if the specified AC Power Cords are in use at their facility; and, to inspect the affected cords for bent or cracked prongs and bridge connection, burnt plastic, or excessive wear and tear.  Also, it was recommended that customers immediately discontinue use of the affected cords exhibiting the described characteristics and contact their local Hospira representative for assistance.  The letter stated that customers may continue to use and monitor cords that are not exhibiting the described characteristics until replacement cords are sent to their facility.  Hospira will contact customers to schedule replacement.  Customers are to complete and return the attached Reply Form.  Question should be directed to Hospira Customer Service at 1-800-241-4002.",Effective
CAPA-MF-1020,MedFluss GmbH,84773,Z-0020-2010,Hospira Inc,"Omniflow 4000 Plus, List numbers 40051-04-05, 40051-04-07, 40051-04-09, 40051-04-51; AC cord manufactured by Electri-Cord, Westfield PA, Infusion pumps manufactured by Hospira, Morgan Hill, CA.",Fire/Shock hazard-- A component used in the device may cause sparks/flashes and poses a fire and shock hazard.,Component design/selection,Component design/selection,Quality Assurance,Sarah Müller,Critical,Closed,2025-01-11,2025-02-28,48,No,"Firm initiated its recall on 08/14/2009.  A nationwide press release was issued to AP, and an Urgent: Device Field Correction letter to consignees was sent via UPS.  The letter recommended that customers check their infusion pumps and spare parts in their inventory to determine if the specified AC Power Cords are in use at their facility; and, to inspect the affected cords for bent or cracked prongs and bridge connection, burnt plastic, or excessive wear and tear.  Also, it was recommended that customers immediately discontinue use of the affected cords exhibiting the described characteristics and contact their local Hospira representative for assistance.  The letter stated that customers may continue to use and monitor cords that are not exhibiting the described characteristics until replacement cords are sent to their facility.  Hospira will contact customers to schedule replacement.  Customers are to complete and return the attached Reply Form.  Question should be directed to Hospira Customer Service at 1-800-241-4002.",Effective
